method,accuracy,macro_f1,weighted_f1,kirmizi_recall,brier_multiclass,ece_top1,nll,temperature
isotonic,0.765625,0.765467455096421,0.7662772323717241,0.7899159663865546,0.3293226625778062,0.047493815527681144,0.6438328518548815,
temperature_scaled_sigmoid,0.765625,0.765900076655838,0.7667347415014062,0.7647058823529411,0.3289374611279067,0.040067548553553135,0.5746498100630928,0.7781744985433291
sigmoid,0.765625,0.765900076655838,0.7667347415014062,0.7647058823529411,0.331268790086705,0.06440349310557536,0.581563103566551,
